"","Series","Date","Value"
"3249","Banksd",2012-05-01,50302627
"3250","Banksd",2012-06-01,69143077
"3251","Banksd",2012-07-01,78328419
"3252","Banksd",2012-08-01,64575507
"3253","Banksd",2012-09-01,72016781
"3254","Banksd",2012-10-01,69025982
"3255","Banksd",2012-11-01,72946043
"3256","Banksd",2012-12-01,64441998
"3257","Banksd",2013-01-01,66597559
"3258","Banksd",2013-02-01,68388049
"3259","Banksd",2013-03-01,60500452
"3260","Banksd",2013-04-01,59941625
"3261","Banksd",2013-05-01,46444646
"3262","Banksd",2013-06-01,51298443
"3263","Banksd",2013-07-01,52678557
"3264","Banksd",2013-08-01,54827296
"3265","Banksd",2013-09-01,51788045
"3266","Banksd",2013-10-01,53780011
"3267","Banksd",2013-11-01,81481515
"3268","Banksd",2013-12-01,83869347
"3269","Banksd",2014-01-01,83290292
"3270","Banksd",2014-02-01,79952759
"3271","Banksd",2014-03-01,78847625
"3272","Banksd",2014-04-01,89450172
"3273","Banksd",2014-05-01,80175167
"3274","Banksd",2014-06-01,86495531
"3275","Banksd",2014-07-01,74380307
"3276","Banksd",2014-08-01,72091731
"3277","Banksd",2014-09-01,82948351
"3278","Banksd",2014-10-01,91147858
"3279","Banksd",2014-11-01,86070024
"3280","Banksd",2014-12-01,86058294
"3281","Banksd",2015-01-01,81999379
"3282","Banksd",2015-02-01,87749624
"3283","Banksd",2015-03-01,97429701
"3284","Banksd",2015-04-01,114679856
"3285","Banksd",2015-05-01,111211383
"3286","Banksd",2015-06-01,120155550
"3287","Banksd",2015-07-01,103404926
"3288","Banksd",2015-08-01,126230092
"3289","Banksd",2015-09-01,133367657
"3290","Banksd",2015-10-01,120461834
"3291","Banksd",2015-11-01,109197449
"3292","Banksd",2015-12-01,100785438
"3293","Banksd",2016-01-01,106333064
"3294","Banksd",2016-02-01,112760500
"3295","Banksd",2016-03-01,116980594
"3296","Banksd",2016-04-01,101817582
"3297","Banksd",2016-05-01,124037707
"3298","Banksd",2016-06-01,121269458
"3299","Banksd",2016-07-01,113796169
"3300","Banksd",2016-08-01,133105948
"3301","Banksd",2016-09-01,107510260
"3302","Banksd",2016-10-01,127952879
"3303","Banksd",2016-11-01,121106324
"3304","Banksd",2016-12-01,98216307
"3305","Banksd",2017-01-01,95552145
"3306","Banksd",2017-02-01,90026489
"3307","Banksd",2017-03-01,93117101
"3308","Banksd",2017-04-01,80471132
"3309","Banksd",2017-05-01,75150624
"3310","Banksd",2017-06-01,78850679
"3311","Banksd",2017-07-01,82575009
"3312","Banksd",2017-08-01,84203479
"3313","Banksd",2017-09-01,89092398
"3314","Banksd",2017-10-01,102446711
"3315","Banksd",2017-11-01,93945768
"3316","Banksd",2017-12-01,82257277
"3317","Banksd",2018-01-01,105562387
"3318","Banksd",2018-02-01,103955489
"3319","Banksd",2018-03-01,95258905
"3320","Banksd",2018-04-01,103109234
"3321","Banksd",2018-05-01,97981242
"3322","Banksd",2018-06-01,98398639
"3323","Banksd",2018-07-01,92118778
"3324","Banksd",2018-08-01,102477758
"3325","Banksd",2018-09-01,98874682
"3326","Banksd",2018-10-01,100430987
"3327","Banksd",2018-11-01,91864471
"3328","Banksd",2018-12-01,109744171
"3329","Banksd",2019-01-01,116833700
"3330","Banksd",2019-02-01,131477949
"3331","Banksd",2019-03-01,139253412
"3332","Banksd",2019-04-01,140559130
"3333","Banksd",2019-05-01,169632530
"3334","Banksd",2019-06-01,173721733
"3335","Banksd",2019-07-01,171241854
"3336","Banksd",2019-08-01,152648974
"3337","Banksd",2019-09-01,167448776
"3338","Banksd",2019-10-01,170658466
"3339","Banksd",2019-11-01,159145667
"3340","Banksd",2019-12-01,137120625
"3341","Banksd",2020-01-01,158574903
"3342","Banksd",2020-02-01,191377623
"3343","Banksd",2020-03-01,166977662
"3344","Banksd",2020-04-01,150040055
"3345","Banksd",2020-05-01,180341844
"3346","Banksd",2020-06-01,211322300
"3347","Banksd",2020-07-01,243938669
"3348","Banksd",2020-08-01,254878616
"3349","Banksd",2020-09-01,255145535
"3350","Banksd",2020-10-01,245793758
"3351","Banksd",2020-11-01,246756262
"3352","Banksd",2020-12-01,241506141
"3353","Banksd",2021-01-01,247736553
"3354","Banksd",2021-02-01,246880259
"3355","Banksd",2021-03-01,268140315
"3356","Banksd",2021-04-01,242135655
"3357","Banksd",2021-05-01,244803199
"3358","Banksd",2021-06-01,255324212
"3359","Banksd",2021-07-01,252506835
"3360","Banksd",2021-08-01,265709252
"3361","Banksd",2021-09-01,259784717
"3362","Banksd",2021-10-01,255338901
"3363","Banksd",2021-11-01,263599685
"3364","Banksd",2021-12-01,264599593
"3365","Banksd",2022-01-01,249513717
"3366","Banksd",2022-02-01,217415866
"3367","Banksd",2022-03-01,285758395
"3368","Banksd",2022-04-01,262451370
"3369","Banksd",2022-05-01,283525132
"3370","Banksd",2022-06-01,272422435
"3371","Banksd",2022-07-01,252835016
"3372","Banksd",2022-08-01,212197353
"3373","Banksd",2022-09-01,233740754
"3374","Banksd",2022-10-01,265985702
"3375","Banksd",2022-11-01,289084591
"3376","Banksd",2022-12-01,296401468
"3377","Banksd",2023-01-01,289547351
"3378","Banksd",2023-02-01,320454371
"3379","Banksd",2023-03-01,306806959
"3380","Banksd",2023-04-01,352182017
"3381","Banksd",2023-05-01,386480969
"3382","Banksd",2023-06-01,358217687
"3383","Banksd",2023-07-01,345711575
"3384","Banksd",2023-08-01,376582753
"3385","Insurers",2008-01-01,7841269
"3386","Insurers",2008-02-01,9257685
"3387","Insurers",2008-03-01,9258324
"3388","Insurers",2008-04-01,8631248
"3389","Insurers",2008-05-01,6730684
"3390","Insurers",2008-06-01,9106161
"3391","Insurers",2008-07-01,9066894
"3392","Insurers",2008-08-01,9808800
"3393","Insurers",2008-09-01,9475206
"3394","Insurers",2008-10-01,9293308
"3395","Insurers",2008-11-01,7960000
"3396","Insurers",2008-12-01,10575883
"3397","Insurers",2009-01-01,2666678
"3398","Insurers",2009-02-01,3158348
"3399","Insurers",2009-03-01,4116498
"3400","Insurers",2009-04-01,3149376
"3401","Insurers",2009-05-01,2910696
"3402","Insurers",2009-06-01,6667948
"3403","Insurers",2009-07-01,4403071
"3404","Insurers",2009-08-01,5592065
"3405","Insurers",2009-09-01,4429593
"3406","Insurers",2009-10-01,5054099
"3407","Insurers",2009-11-01,4713099
"3408","Insurers",2009-12-01,5384782
"3409","Insurers",2010-01-01,6053966
"3410","Insurers",2010-02-01,6927295
"3411","Insurers",2010-03-01,7068699
"3412","Insurers",2010-04-01,7544663
"3413","Insurers",2010-05-01,7867339
"3414","Insurers",2010-06-01,7468560
"3415","Insurers",2010-07-01,7751284
"3416","Insurers",2010-08-01,7424939
"3417","Insurers",2010-09-01,7746384
"3418","Insurers",2010-10-01,7284429
"3419","Insurers",2010-11-01,7353563
"3420","Insurers",2010-12-01,7357673
"3421","Insurers",2011-01-01,6872359
"3422","Insurers",2011-02-01,7318241
"3423","Insurers",2011-03-01,5741612
"3424","Insurers",2011-04-01,5980391
"3425","Insurers",2011-05-01,5456832
"3426","Insurers",2011-06-01,6189721
"3427","Insurers",2011-07-01,6203319
"3428","Insurers",2011-08-01,6417179
"3429","Insurers",2011-09-01,6618793
"3430","Insurers",2011-10-01,6200951
"3431","Insurers",2011-11-01,6224839
"3432","Insurers",2011-12-01,8816512
"3433","Insurers",2012-01-01,5941565
"3434","Insurers",2012-02-01,5222951
"3435","Insurers",2012-03-01,5204340
"3436","Insurers",2012-04-01,833701
"3437","Insurers",2012-05-01,0
"3438","Insurers",2012-06-01,20625
"3439","Insurers",2012-07-01,0
"3440","Insurers",2012-08-01,0
"3441","Insurers",2012-09-01,0
"3442","Insurers",2012-10-01,0
"3443","Insurers",2012-11-01,0
"3444","Insurers",2012-12-01,2257083
"3445","Insurers",2013-01-01,0
"3446","Insurers",2013-02-01,1052
"3447","Insurers",2013-03-01,0
"3448","Insurers",2013-04-01,288704
"3449","Insurers",2013-05-01,2891200
"3450","Insurers",2013-06-01,2990994
"3451","Insurers",2013-07-01,3117068
"3452","Insurers",2013-08-01,2154889
"3453","Insurers",2013-09-01,2412074
"3454","Insurers",2013-10-01,2160677
"3455","Insurers",2013-11-01,1716847
"3456","Insurers",2013-12-01,1625790
"3457","Insurers",2014-01-01,3225287
"3458","Insurers",2014-02-01,5455564
"3459","Insurers",2014-03-01,6013469
"3460","Insurers",2014-04-01,5762042
"3461","Insurers",2014-05-01,4950462
"3462","Insurers",2014-06-01,1739897
"3463","Insurers",2014-07-01,2537227
"3464","Insurers",2014-08-01,5049947
"3465","Insurers",2014-09-01,5618526
"3466","Insurers",2014-10-01,6482177
"3467","Insurers",2014-11-01,5747314
"3468","Insurers",2014-12-01,4296029
"3469","Insurers",2015-01-01,3748858
"3470","Insurers",2015-02-01,5819120
"3471","Insurers",2015-03-01,8154723
"3472","Insurers",2015-04-01,8362064
"3473","Insurers",2015-05-01,8941016
"3474","Insurers",2015-06-01,9798804
"3475","Insurers",2015-07-01,11393095
"3476","Insurers",2015-08-01,9306192
"3477","Insurers",2015-09-01,9469359
"3478","Insurers",2015-10-01,12193865
"3479","Insurers",2015-11-01,12373593
"3480","Insurers",2015-12-01,10195317
"3481","Insurers",2016-01-01,12553150
"3482","Insurers",2016-02-01,11904418
"3483","Insurers",2016-03-01,12524422
"3484","Insurers",2016-04-01,13572341
"3485","Insurers",2016-05-01,13152831
"3486","Insurers",2016-06-01,13386926
"3487","Insurers",2016-07-01,12999764
"3488","Insurers",2016-08-01,13878066
"3489","Insurers",2016-09-01,11297094
"3490","Insurers",2016-10-01,13590228
"3491","Insurers",2016-11-01,10931449
"3492","Insurers",2016-12-01,19407726
"3493","Insurers",2017-01-01,17567480
"3494","Insurers",2017-02-01,17471171
"3495","Insurers",2017-03-01,18777361
"3496","Insurers",2017-04-01,19868531
"3497","Insurers",2017-05-01,20935845
"3498","Insurers",2017-06-01,19997178
"3499","Insurers",2017-07-01,18622653
"3500","Insurers",2017-08-01,16967774
"3501","Insurers",2017-09-01,15359022
"3502","Insurers",2017-10-01,13147852
"3503","Insurers",2017-11-01,15249754
"3504","Insurers",2017-12-01,9994867
"3505","Insurers",2018-01-01,9135447
"3506","Insurers",2018-02-01,11094390
"3507","Insurers",2018-03-01,11374990
"3508","Insurers",2018-04-01,10921762
"3509","Insurers",2018-05-01,11477480
"3510","Insurers",2018-06-01,12356112
"3511","Insurers",2018-07-01,9441879
"3512","Insurers",2018-08-01,9231236
"3513","Insurers",2018-09-01,9741870
"3514","Insurers",2018-10-01,12649327
"3515","Insurers",2018-11-01,12832483
"3516","Insurers",2018-12-01,13472054
"3517","Insurers",2019-01-01,11606472
"3518","Insurers",2019-02-01,10693240
"3519","Insurers",2019-03-01,11286863
"3520","Insurers",2019-04-01,10858816
"3521","Insurers",2019-05-01,10841091
"3522","Insurers",2019-06-01,10222548
"3523","Insurers",2019-07-01,8335714
"3524","Insurers",2019-08-01,9963278
"3525","Insurers",2019-09-01,9691943
"3526","Insurers",2019-10-01,12836904
"3527","Insurers",2019-11-01,16822016
"3528","Insurers",2019-12-01,19728899
"3529","Insurers",2020-01-01,19321423
"3530","Insurers",2020-02-01,17964232
"3531","Insurers",2020-03-01,21024742
"3532","Insurers",2020-04-01,19959660
"3533","Insurers",2020-05-01,19741086
"3534","Insurers",2020-06-01,20722769
"3535","Insurers",2020-07-01,18377035
"3536","Insurers",2020-08-01,18035887
"3537","Insurers",2020-09-01,19090705
"3538","Insurers",2020-10-01,20353915
"3539","Insurers",2020-11-01,22136381
"3540","Insurers",2020-12-01,22505782
"3541","Insurers",2021-01-01,21819278
"3542","Insurers",2021-02-01,19619032
"3543","Insurers",2021-03-01,20152312
"3544","Insurers",2021-04-01,19956047
"3545","Insurers",2021-05-01,18913946
"3546","Insurers",2021-06-01,15756486
"3547","Insurers",2021-07-01,12599778
"3548","Insurers",2021-08-01,14071595
"3549","Insurers",2021-09-01,12600457
"3550","Insurers",2021-10-01,14569313
"3551","Insurers",2021-11-01,15093238
"3552","Insurers",2021-12-01,13817116
"3553","Insurers",2022-01-01,13216664
"3554","Insurers",2022-02-01,18492376
"3555","Insurers",2022-03-01,20111666
"3556","Insurers",2022-04-01,26136859
"3557","Insurers",2022-05-01,25436723
"3558","Insurers",2022-06-01,26560002
"3559","Insurers",2022-07-01,23802861
"3560","Insurers",2022-08-01,23971942
"3561","Insurers",2022-09-01,26715460
"3562","Insurers",2022-10-01,32953794
"3563","Insurers",2022-11-01,29856470
"3564","Insurers",2022-12-01,30901687
"3565","Insurers",2023-01-01,32217770
"3566","Insurers",2023-02-01,29276456
"3567","Insurers",2023-03-01,30130997
"3568","Insurers",2023-04-01,26578743
"3569","Insurers",2023-05-01,23891870
"3570","Insurers",2023-06-01,20956578
"3571","Insurers",2023-07-01,26326346
"3572","Insurers",2023-08-01,24678042
"3573","Pension funds",2008-01-01,0
"3574","Pension funds",2008-02-01,0
"3575","Pension funds",2008-03-01,370246
"3576","Pension funds",2008-04-01,618587
"3577","Pension funds",2008-05-01,634140
"3578","Pension funds",2008-06-01,918473
"3579","Pension funds",2008-07-01,0
"3580","Pension funds",2008-08-01,0
"3581","Pension funds",2008-09-01,52268
"3582","Pension funds",2008-10-01,0
"3583","Pension funds",2008-11-01,0
"3584","Pension funds",2008-12-01,0
"3585","Pension funds",2009-01-01,0
"3586","Pension funds",2009-02-01,0
"3587","Pension funds",2009-03-01,0
"3588","Pension funds",2009-04-01,0
"3589","Pension funds",2009-05-01,0
"3590","Pension funds",2009-06-01,0
"3591","Pension funds",2009-07-01,0
"3592","Pension funds",2009-08-01,131013
"3593","Pension funds",2009-09-01,0
"3594","Pension funds",2009-10-01,0
"3595","Pension funds",2009-11-01,0
"3596","Pension funds",2009-12-01,0
"3597","Pension funds",2010-01-01,0
"3598","Pension funds",2010-02-01,0
"3599","Pension funds",2010-03-01,0
"3600","Pension funds",2010-04-01,0
"3601","Pension funds",2010-05-01,0
"3602","Pension funds",2010-06-01,0
"3603","Pension funds",2010-07-01,0
"3604","Pension funds",2010-08-01,0
"3605","Pension funds",2010-09-01,0
"3606","Pension funds",2010-10-01,0
"3607","Pension funds",2010-11-01,0
"3608","Pension funds",2010-12-01,0
"3609","Pension funds",2011-01-01,361306
"3610","Pension funds",2011-02-01,0
"3611","Pension funds",2011-03-01,0
"3612","Pension funds",2011-04-01,0
"3613","Pension funds",2011-05-01,0
"3614","Pension funds",2011-06-01,220267
"3615","Pension funds",2011-07-01,120789
"3616","Pension funds",2011-08-01,122857
"3617","Pension funds",2011-09-01,120179
"3618","Pension funds",2011-10-01,120755
"3619","Pension funds",2011-11-01,121307
"3620","Pension funds",2011-12-01,120149
"3621","Pension funds",2012-01-01,437132
"3622","Pension funds",2012-02-01,168620
"3623","Pension funds",2012-03-01,120112
"3624","Pension funds",2012-04-01,120097
"3625","Pension funds",2012-05-01,120130
"3626","Pension funds",2012-06-01,481293
"3627","Pension funds",2012-07-01,100465
"3628","Pension funds",2012-08-01,715466
"3629","Pension funds",2012-09-01,718670
"3630","Pension funds",2012-10-01,0
"3631","Pension funds",2012-11-01,0
"3632","Pension funds",2012-12-01,550575
"3633","Pension funds",2013-01-01,0
"3634","Pension funds",2013-02-01,0
"3635","Pension funds",2013-03-01,0
"3636","Pension funds",2013-04-01,92047
"3637","Pension funds",2013-05-01,506911
"3638","Pension funds",2013-06-01,617698
"3639","Pension funds",2013-07-01,672036
