"","Series","Date","Value"
"265","South African bank notes and subsidiary coin",2014-05-01,20672758
"266","South African bank notes and subsidiary coin",2014-06-01,22906839
"267","South African bank notes and subsidiary coin",2014-07-01,26512687
"268","South African bank notes and subsidiary coin",2014-08-01,23406439
"269","South African bank notes and subsidiary coin",2014-09-01,26610275
"270","South African bank notes and subsidiary coin",2014-10-01,27264393
"271","South African bank notes and subsidiary coin",2014-11-01,23998574
"272","South African bank notes and subsidiary coin",2014-12-01,37140280
"273","South African bank notes and subsidiary coin",2015-01-01,26028252
"274","South African bank notes and subsidiary coin",2015-02-01,24404637
"275","South African bank notes and subsidiary coin",2015-03-01,30509329
"276","South African bank notes and subsidiary coin",2015-04-01,31487009
"277","South African bank notes and subsidiary coin",2015-05-01,24955664
"278","South African bank notes and subsidiary coin",2015-06-01,28263897
"279","South African bank notes and subsidiary coin",2015-07-01,28530521
"280","South African bank notes and subsidiary coin",2015-08-01,27766551
"281","South African bank notes and subsidiary coin",2015-09-01,29669775
"282","South African bank notes and subsidiary coin",2015-10-01,28964765
"283","South African bank notes and subsidiary coin",2015-11-01,30159434
"284","South African bank notes and subsidiary coin",2015-12-01,36938322
"285","South African bank notes and subsidiary coin",2016-01-01,27768875
"286","South African bank notes and subsidiary coin",2016-02-01,27780852
"287","South African bank notes and subsidiary coin",2016-03-01,33660096
"288","South African bank notes and subsidiary coin",2016-04-01,31743510
"289","South African bank notes and subsidiary coin",2016-05-01,30251270
"290","South African bank notes and subsidiary coin",2016-06-01,30279133
"291","South African bank notes and subsidiary coin",2016-07-01,26987643
"292","South African bank notes and subsidiary coin",2016-08-01,29990342
"293","South African bank notes and subsidiary coin",2016-09-01,30051333
"294","South African bank notes and subsidiary coin",2016-10-01,30678574
"295","South African bank notes and subsidiary coin",2016-11-01,32278565
"296","South African bank notes and subsidiary coin",2016-12-01,41620678
"297","South African bank notes and subsidiary coin",2017-01-01,30646503
"298","South African bank notes and subsidiary coin",2017-02-01,29391217
"299","South African bank notes and subsidiary coin",2017-03-01,30628743
"300","South African bank notes and subsidiary coin",2017-04-01,32164020
"301","South African bank notes and subsidiary coin",2017-05-01,31596691
"302","South African bank notes and subsidiary coin",2017-06-01,30088899
"303","South African bank notes and subsidiary coin",2017-07-01,30754721
"304","South African bank notes and subsidiary coin",2017-08-01,32751218
"305","South African bank notes and subsidiary coin",2017-09-01,30523093
"306","South African bank notes and subsidiary coin",2017-10-01,32654070
"307","South African bank notes and subsidiary coin",2017-11-01,32725982
"308","South African bank notes and subsidiary coin",2017-12-01,41781688
"309","South African bank notes and subsidiary coin",2018-01-01,32265630
"310","South African bank notes and subsidiary coin",2018-02-01,30459685
"311","South African bank notes and subsidiary coin",2018-03-01,33984059
"312","South African bank notes and subsidiary coin",2018-04-01,32787638
"313","South African bank notes and subsidiary coin",2018-05-01,33875868
"314","South African bank notes and subsidiary coin",2018-06-01,29558601
"315","South African bank notes and subsidiary coin",2018-07-01,29923574
"316","South African bank notes and subsidiary coin",2018-08-01,30963319
"317","South African bank notes and subsidiary coin",2018-09-01,31099662
"318","South African bank notes and subsidiary coin",2018-10-01,33032536
"319","South African bank notes and subsidiary coin",2018-11-01,33244135
"320","South African bank notes and subsidiary coin",2018-12-01,41625768
"321","South African bank notes and subsidiary coin",2019-01-01,34510144
"322","South African bank notes and subsidiary coin",2019-02-01,33037787
"323","South African bank notes and subsidiary coin",2019-03-01,31693152
"324","South African bank notes and subsidiary coin",2019-04-01,35414636
"325","South African bank notes and subsidiary coin",2019-05-01,33543848
"326","South African bank notes and subsidiary coin",2019-06-01,31874113
"327","South African bank notes and subsidiary coin",2019-07-01,34493427
"328","South African bank notes and subsidiary coin",2019-08-01,29101046
"329","South African bank notes and subsidiary coin",2019-09-01,34835872
"330","South African bank notes and subsidiary coin",2019-10-01,35142234
"331","South African bank notes and subsidiary coin",2019-11-01,34658279
"332","South African bank notes and subsidiary coin",2019-12-01,38502886
"333","South African bank notes and subsidiary coin",2020-01-01,31850875
"334","South African bank notes and subsidiary coin",2020-02-01,27612769
"335","South African bank notes and subsidiary coin",2020-03-01,31910063
"336","South African bank notes and subsidiary coin",2020-04-01,34897337
"337","South African bank notes and subsidiary coin",2020-05-01,27321915
"338","South African bank notes and subsidiary coin",2020-06-01,30527371
"339","South African bank notes and subsidiary coin",2020-07-01,33756948
"340","South African bank notes and subsidiary coin",2020-08-01,30677956
"341","South African bank notes and subsidiary coin",2020-09-01,38768852
"342","South African bank notes and subsidiary coin",2020-10-01,33414980
"343","South African bank notes and subsidiary coin",2020-11-01,34240720
"344","South African bank notes and subsidiary coin",2020-12-01,38003976
"345","South African bank notes and subsidiary coin",2021-01-01,28871132
"346","South African bank notes and subsidiary coin",2021-02-01,31810431
"347","South African bank notes and subsidiary coin",2021-03-01,37339990
"348","South African bank notes and subsidiary coin",2021-04-01,33630160
"349","South African bank notes and subsidiary coin",2021-05-01,29357734
"350","South African bank notes and subsidiary coin",2021-06-01,32535585
"351","South African bank notes and subsidiary coin",2021-07-01,27185641
"352","South African bank notes and subsidiary coin",2021-08-01,28228299
"353","South African bank notes and subsidiary coin",2021-09-01,30553089
"354","South African bank notes and subsidiary coin",2021-10-01,28339486
"355","South African bank notes and subsidiary coin",2021-11-01,29439225
"356","South African bank notes and subsidiary coin",2021-12-01,32695224
"357","South African bank notes and subsidiary coin",2022-01-01,26862783
"358","South African bank notes and subsidiary coin",2022-02-01,26876832
"359","South African bank notes and subsidiary coin",2022-03-01,35356416
"360","South African bank notes and subsidiary coin",2022-04-01,30686338
"361","South African bank notes and subsidiary coin",2022-05-01,35790990
"362","South African bank notes and subsidiary coin",2022-06-01,35403642
"363","South African bank notes and subsidiary coin",2022-07-01,27557486
"364","South African bank notes and subsidiary coin",2022-08-01,32143533
